Unique_ID,MORTGAGE NUMBER,PROPERTY VALUE,MORTGAGE PAYMENT,GDS,LTV,TDS,AMORTIZATION,MORTGAGE AMOUNT,RATE,MORTGAGE PURPOSE,PAYMENT FREQUENCY,PROPERTY TYPE,TERM,FSA,AGE RANGE,GENDER,INCOME,INCOME TYPE,NAICS CODE,CREDIT SCORE,RESULT
CAX_Train_11041,11041,1209000,4593,32.6,80.0,32.67,360,967040.0,4.0,Purchase,Monthly,Single Detached,12,M2N,40-44,Male,174000,8,23,805,FUNDED
CAX_Train_18038,18038,880000,3384,33.8,65.0,46.56,360,572000.0,5.0,Purchase,Monthly,Single Detached,12,L0L,50-54,Male,124000,8,56,602,NOT FUNDED
CAX_Train_38176,38176,539000,2645,38.74,80.0,43.34,360,431200.0,5.0,Purchase,Monthly,Townhouse Freehold,12,L6R,35-39,Male,96000,8,48-49,737,NOT FUNDED
CAX_Train_40435,40435,386000,2073,20.22,80.0,26.03,360,305000.0,5.75,Refinance,Monthly,Semi-Detached,36,L7A,45-49,Male,125000,2,54,636,FUNDED
CAX_Train_26193,26193,398000,1599,19.69,65.0,40.14,360,258700.0,5.0,Purchase,Monthly,Semi-Detached,12,L5R,50-54,Male,150000,8,56,656,NOT FUNDED
CAX_Train_19128,19128,315000,1030,26.22,52.38,40.85,360,165000.0,5.0,Refinance,Monthly,Semi-Detached,24,T3J,35-39,Female,52000,2,56,658,FUNDED
CAX_Train_33355,33355,300000,1459,5.48,80.0,34.77,360,240000.0,4.5,Refinance,Monthly,Single Detached,12,L9S,40-44,Male,225000,8,23,644,FUNDED
CAX_Train_21244,21244,530000,2492,38.02,80.0,39.64,360,424000.0,5.0,Purchase,Monthly,Semi-Detached,12,M1X,50-54,Female,86000,2,56,567,FUNDED
CAX_Train_41212,41212,1260000,6423,39.29,80.0,43.74,360,1007920.0,5.0,Purchase,Monthly,Single Detached,12,L4S,25-29,Female,200000,8,56,0,FUNDED
CAX_Train_19291,19291,1200000,2937,51.06,32.6,59.05,360,415000.0,5.25,Refinance,Monthly,Single Detached,12,J4Y,65-69,Male,73000,2,52,703,FUNDED
CAX_Train_3073,3073,340000,1367,13.31,70.0,38.16,360,272000.0,4.75,Refinance,Monthly,Single Detached,24,T2E,25-29,Female,130000,8,72,650,FUNDED
CAX_Train_27733,27733,550000,2249,55.84,65.0,61.41,360,357500.0,4.0,Refinance,Monthly,Single Detached,12,T8V,25-29,Female,51000,2,11,661,FUNDED
CAX_Train_6857,6857,300000,1041,18.3,73.15,42.52,360,351920.0,4.25,Purchase,Bi-Weekly Accelerated,High Rise,12,L4L,40-44,Female,84000,8,54,695,FUNDED
CAX_Train_21669,21669,530000,2603,7.36,63.06,59.65,360,422500.0,5.25,Refinance,Monthly,High Rise,12,M5G,60-64,Male,155000,8,53,673,NOT FUNDED
CAX_Train_32903,32903,700000,4222,44.98,78.75,45.91,360,630000.0,5.75,Refinance,Monthly,Single Detached,12,K1S,50-54,Female,115000,2,56,591,FUNDED
CAX_Train_16196,16196,450000,1506,37.95,55.0,38.89,360,225000.0,4.5,Refinance,Monthly,Single Detached,12,L0C,30-34,Male,51000,8,23,760,FUNDED
CAX_Train_8671,8671,4500000,12664,21.32,55.0,39.62,360,2200000.0,5.0,Refinance,Monthly,Single Detached,12,M2K,45-49,Female,720000,8,23,742,FUNDED
CAX_Train_2718,2718,505000,2080,29.07,80.0,30.76,360,404000.0,3.5,Purchase,Monthly,Single Detached,12,L6S,25-29,Female,90000,8,56,816,FUNDED
CAX_Train_2237,2237,335000,1636,26.03,76.5,36.69,300,230000.0,4.5,Purchase,Monthly,Single Detached,12,J4B,30-34,Unknown,80000,8,23,675,FUNDED
CAX_Train_3923,3923,673000,3302,30.07,79.17,44.77,360,599390.0,5.0,Purchase,Monthly,Semi-Detached,12,L6C,35-39,Male,150000,2,56,671,FUNDED
CAX_Train_44226,44226,240000,1137,25.38,65.0,25.79,300,156000.0,5.0,Refinance,Monthly,Single Detached,12,B3G,35-39,Female,59000,2,62,586,NOT FUNDED
CAX_Train_2222,2222,238000,1129,10.98,75.0,15.48,360,178287.51,4.75,Purchase,Monthly,High Rise,36,M8V,50-54,Female,105000,8,53,776,FUNDED
CAX_Train_9661,9661,285000,1147,28.31,65.0,33.3,360,185250.0,5.0,Refinance,Monthly,Single Detached,24,L7J,55-59,Unknown,55000,8,55,629,NOT FUNDED
CAX_Train_35183,35183,240000,649,48.22,65.0,48.22,360,217750.0,4.5,Refinance,Bi-Weekly,Single Detached,12,L9A,45-49,Female,39000,2,56,554,FUNDED
CAX_Train_24476,24476,370000,2126,23.43,80.0,43.12,360,352000.0,4.25,Refinance,Monthly,Single Detached,24,L1B,40-44,Male,114000,8,71,739,FUNDED
CAX_Train_20205,20205,652000,2559,99.1,65.0,139.9,360,412000.0,4.25,Purchase,Monthly,Single Detached,12,L0R,50-54,Male,33000,2,56,661,FUNDED
CAX_Train_21664,21664,475000,2359,25.06,80.0,33.01,360,380000.0,5.0,Purchase,Monthly,Single Detached,12,M9W,35-39,Unknown,118000,2,56,636,FUNDED
CAX_Train_8913,8913,1200000,5380,37.75,80.0,43.68,360,1040000.0,4.0,Refinance,Monthly,Single Detached,12,L6C,55-59,Male,175000,8,72,724,FUNDED
CAX_Train_11916,11916,700000,3428,5.56,74.73,6.71,360,560000.0,4.5,Refinance,Monthly,Single Detached,12,K4P,30-34,Male,771000,8,23,828,FUNDED
CAX_Train_27359,27359,350000,1912,25.23,80.0,25.82,360,280000.0,4.5,Refinance,Monthly,Townhouse Freehold,36,K2J,45-49,Unknown,85000,8,55,0,NOT FUNDED
CAX_Train_8650,8650,410000,1754,31.61,75.0,39.51,360,300000.0,4.25,Refinance,Monthly,Single Detached,12,V2X,40-44,Female,55000,8,56,674,NOT FUNDED
CAX_Train_25102,25102,258000,1444,28.25,79.457,35.56,360,208000.0,6.0,Refinance,Monthly,Single Detached,12,L4N,40-44,Male,80000,2,54,562,NOT FUNDED
CAX_Train_21969,21969,550000,2149,3.56,65.0,39.83,360,412500.0,5.5,Refinance,Monthly,Single Detached,12,T2M,25-29,Female,120000,8,44-45,634,NOT FUNDED
CAX_Train_44167,44167,720000,1381,40.09,60.0,48.18,360,555000.0,4.5,Refinance,Bi-Weekly Accelerated,Single Detached,36,L3X,50-54,Unknown,100000,19,44-45,693,FUNDED
CAX_Train_24545,24545,192000,1070,46.08,75.0,46.79,360,170000.0,5.0,Refinance,Monthly,High Rise,36,L5N,70 and over,Male,78000,19,56,603,FUNDED
CAX_Train_11100,11100,538000,2262,36.33,80.0,36.8,360,430400.0,4.0,Purchase,Monthly,Semi-Detached,12,M1V,30-34,Unknown,78000,2,56,755,FUNDED
CAX_Train_17294,17294,224000,895,28.3,55.0,28.7,360,123200.0,5.5,Purchase,Monthly,Single Detached,12,N0G,65-69,Male,60000,8,72,551,FUNDED
CAX_Train_24220,24220,800000,5321,57.19,60.37,57.19,360,815000.0,6.0,Refinance,Monthly,Single Detached,12,L4C,60-64,Unknown,114000,2,44-45,557,NOT FUNDED
CAX_Train_16065,16065,363000,1643,35.32,75.0,37.47,360,272250.0,4.75,Purchase,Monthly,Townhouse Condominium,24,L1Z,45-49,Female,61000,2,56,639,FUNDED
CAX_Train_25390,25390,727000,3213,35.17,80.0,39.28,360,581716.65,4.0,Purchase,Monthly,Single Detached,12,L6X,40-44,Male,244000,8,48-49,666,FUNDED
CAX_Train_14825,14825,800000,3222,30.55,80.0,33.02,360,640000.0,4.5,Purchase,Monthly,Single Detached,12,L3S,50-54,Male,130000,8,72,701,FUNDED
CAX_Train_10315,10315,385000,1754,50.87,75.0,50.87,360,285000.0,4.75,Refinance,Monthly,Townhouse Condominium,36,L9B,60-64,Female,52000,2,56,645,NOT FUNDED
CAX_Train_31627,31627,465000,2074,20.31,80.0,29.03,360,372000.0,5.0,Purchase,Monthly,Townhouse Condominium,12,L6Y,45-49,Male,108000,2,52,608,FUNDED
CAX_Train_11220,11220,435000,1979,29.09,75.0,37.92,360,334000.0,5.25,Refinance,Monthly,High Rise,12,M4X,60-64,Male,97000,2,56,583,FUNDED
CAX_Train_23342,23342,430000,766,19.77,22.11,36.07,300,105000.0,3.5,Refinance,Monthly,Single Detached,24,T8A,60-64,Male,53000,8,53,762,FUNDED
CAX_Train_19029,19029,160000,789,24.53,65.0,41.26,360,104000.0,5.0,Refinance,Monthly,Single Detached,12,N0G,35-39,Female,42000,2,62,630,FUNDED
CAX_Train_27509,27509,413000,1787,11.23,75.0,31.41,360,309450.0,4.5,Purchase,Monthly,Single Detached,12,M6N,40-44,Male,125000,8,44-45,689,FUNDED
CAX_Train_8884,8884,524000,2513,29.6,80.0,39.3,360,419096.2,4.5,Purchase,Monthly,Townhouse Condominium,12,L4J,40-44,Female,130000,8,54,697,NOT FUNDED
CAX_Train_21259,21259,375000,1586,2.46,65.0,37.59,360,281250.0,4.75,Refinance,Monthly,Single Detached,12,N6H,40-44,Male,91000,2,56,612,FUNDED
CAX_Train_32718,32718,740000,4194,28.79,80.0,39.39,360,704000.0,5.0,Refinance,Monthly,Single Detached,24,L6C,55-59,Female,180000,8,31-33,629,FUNDED
CAX_Train_21010,21010,500000,2282,35.73,73.58,35.88,360,390000.0,4.25,Refinance,Monthly,Single Detached,12,L1M,45-49,Unknown,100000,2,23,624,FUNDED
CAX_Train_32591,32591,418000,1653,50.74,64.07,51.2,360,267500.0,4.75,Purchase,Monthly,Single Detached,12,V3G,70 and over,Male,41000,6,81,673,FUNDED
CAX_Train_19148,19148,1600000,4793,43.08,40.0,43.08,360,600000.0,5.5,Refinance,Monthly,Single Detached,12,H2V,55-59,Male,136000,2,92,0,FUNDED
CAX_Train_23438,23438,650000,2616,9.7,75.0,34.96,360,487500.0,4.0,Refinance,Monthly,Single Detached,12,M6E,45-49,Male,147000,8,11,732,FUNDED
CAX_Train_38280,38280,840000,3609,31.16,79.76,37.47,360,670000.0,4.25,Refinance,Monthly,Single Detached,24,T2Z,40-44,Unknown,144000,8,44-45,710,FUNDED
CAX_Train_38569,38569,309000,1513,34.07,80.0,34.28,360,247200.0,4.0,Purchase,Monthly,Single Detached,12,J6W,25-29,Male,57000,2,54,793,FUNDED
CAX_Train_35673,35673,382000,2099,1.25,75.0,36.31,300,304000.0,5.0,Refinance,Monthly,Single Detached,24,N6H,30-34,Male,120000,8,23,670,NOT FUNDED
CAX_Train_23909,23909,1066000,4692,28.9,80.0,40.64,360,852481.31,3.5,Purchase,Monthly,Single Detached,12,L4G,45-49,Male,200000,8,56,778,FUNDED
CAX_Train_15188,15188,1300000,4657,17.84,55.0,39.56,360,715000.0,5.25,Purchase,Monthly,Single Detached,24,L9S,30-34,Male,350000,8,56,734,FUNDED
CAX_Train_31540,31540,610000,2829,36.99,80.0,38.21,360,511920.0,4.5,Purchase,Monthly,Single Detached,36,L3S,55-59,Male,95000,8,72,717,FUNDED
CAX_Train_28518,28518,1591000,5371,28.93,65.0,61.72,360,1034143.5,4.5,Purchase,Monthly,Single Detached,12,L4J,55-59,Male,228000,8,23,693,FUNDED
CAX_Train_16586,16586,846000,3608,16.76,80.0,25.42,360,676800.0,4.25,Purchase,Monthly,Semi-Detached,12,M2J,45-49,Male,96000,2,23,750,FUNDED
CAX_Train_31194,31194,620000,2542,24.65,74.19,25.19,360,460000.0,4.25,Refinance,Monthly,Single Detached,12,L5N,45-49,Male,129000,2,48-49,669,FUNDED
CAX_Train_4943,4943,715000,3068,16.89,75.0,43.27,360,572000.0,4.5,Purchase,Monthly,Single Detached,36,M4J,60-64,Female,225000,8,23,820,FUNDED
CAX_Train_32191,32191,3100000,10552,42.81,50.0,43.36,360,1550000.0,5.25,Purchase,Monthly,Single Detached,24,L6L,40-44,Male,300000,2,81,618,NOT FUNDED
CAX_Train_43733,43733,364000,1520,4.28,75.0,35.62,360,273000.0,4.25,Purchase,Monthly,High Rise,12,L4J,Under 25,Male,160000,8,53,761,FUNDED
CAX_Train_13501,13501,600000,2707,6.78,80.0,43.21,360,450000.0,4.5,Refinance,Monthly,Single Detached,12,L1Z,45-49,Female,438000,8,62,626,NOT FUNDED
CAX_Train_33194,33194,448000,942,29.64,29.05,29.64,360,130000.0,5.0,Purchase,Monthly,Single Detached,12,L0E,55-59,Unknown,49000,2,31-33,0,FUNDED
CAX_Train_12830,12830,622000,992,5.2,65.0,55.91,360,404040.0,5.0,Purchase,Bi-Weekly Accelerated,Townhouse Condominium,12,V1V,50-54,Unknown,126000,17,81,822,FUNDED
CAX_Train_34611,34611,1350000,5609,27.4,63.82,44.74,360,877500.0,5.0,Refinance,Monthly,Single Detached,12,N0H,70 and over,Male,250000,8,23,670,FUNDED
CAX_Train_23052,23052,232000,1057,30.06,80.0,43.44,360,185600.0,4.0,Refinance,Monthly,Semi-Detached,12,K2L,55-59,Female,50000,2,81,702,NOT FUNDED
CAX_Train_23738,23738,616000,2147,19.69,70.0,30.67,360,431193.0,4.5,Purchase,Monthly,Townhouse Condominium,12,M9C,40-44,Male,175000,8,62,871,NOT FUNDED
CAX_Train_39179,39179,480000,2185,44.23,65.0,45.39,360,312000.0,6.0,Purchase,Monthly,Single Detached,12,M4M,Under 25,Male,62000,2,56,0,FUNDED
CAX_Train_25379,25379,1200000,3808,9.44,58.33,29.42,360,960000.0,4.0,Purchase,Monthly,Single Detached,24,L6G,30-34,Male,500000,8,72,769,FUNDED
CAX_Train_18414,18414,695000,3010,32.63,75.0,33.93,360,579977.5,4.75,Purchase,Monthly,Single Detached,12,V9A,Under 25,Female,131000,2,54,608,FUNDED
CAX_Train_39736,39736,315000,1414,21.38,75.0,26.85,360,252000.0,5.0,Purchase,Monthly,Semi-Detached,12,L8L,30-34,Male,85000,8,71,596,NOT FUNDED
CAX_Train_27841,27841,7000000,15470,54.61,46.93899999999999,58.41,360,2300000.0,5.5,Refinance,Monthly,Single Detached,12,P0C,55-59,Male,316000,4,81,730,NOT FUNDED
CAX_Train_24295,24295,600000,3044,29.54,80.0,38.69,360,480000.0,4.75,Refinance,Monthly,Single Detached,12,L1P,45-49,Male,141000,8,23,639,NOT FUNDED
CAX_Train_25100,25100,310000,1283,49.79,65.0,51.45,360,201500.0,4.5,Purchase,Monthly,Townhouse Freehold,36,K1T,Under 25,Female,52000,3,72,648,FUNDED
CAX_Train_31871,31871,626000,2810,29.59,80.0,39.11,360,500800.0,4.5,Purchase,Monthly,Single Detached,12,M6P,50-54,Male,110000,2,72,702,FUNDED
CAX_Train_33613,33613,543000,2707,10.46,75.0,43.04,360,485600.0,4.75,Purchase,Monthly,Single Detached,12,L4G,55-59,Male,140000,8,23,664,FUNDED
CAX_Train_32369,32369,220000,975,1.8,75.0,6.86,360,192000.0,4.5,Refinance,Monthly,High Rise,12,L5B,65-69,Unknown,50000,8,72,760,NOT FUNDED
CAX_Train_19721,19721,698000,2971,25.42,80.0,32.16,360,558400.0,4.0,Purchase,Monthly,Semi-Detached,6,M4M,45-49,Male,145000,8,72,819,FUNDED
CAX_Train_4467,4467,461000,1951,38.84,79.81,40.12,360,367690.0,3.5,Purchase,Monthly,Semi-Detached,12,L7A,40-44,Male,79000,8,48-49,813,FUNDED
CAX_Train_43516,43516,900000,4144,45.47,80.0,47.59,360,720000.0,4.75,Refinance,Monthly,Single Detached,12,M3J,45-49,Male,112000,2,56,703,NOT FUNDED
CAX_Train_36940,36940,560000,2706,37.14,75.0,37.27,360,435000.0,5.0,Refinance,Monthly,Single Detached,12,L7A,50-54,Male,97000,2,23,573,FUNDED
CAX_Train_4224,4224,282000,1398,14.61,79.72,35.73,360,225600.0,4.5,Purchase,Monthly,Single Detached,24,L4N,50-54,Unknown,123000,2,56,628,FUNDED
CAX_Train_17755,17755,414000,1716,29.69,75.0,30.55,360,310418.0,4.25,Purchase,Monthly,High Rise,6,M4N,45-49,Male,85000,2,72,793,FUNDED
CAX_Train_41987,41987,190000,739,3.79,55.0,38.93,360,104500.0,5.5,Refinance,Monthly,Single Detached,12,K7S,45-49,Male,293000,5,81,610,NOT FUNDED
CAX_Train_26878,26878,525000,2689,22.45,76.31,29.81,360,496000.0,4.0,Refinance,Monthly,Townhouse Freehold,12,L4L,35-39,Female,144000,8,53,688,FUNDED
CAX_Train_35518,35518,226000,1013,3.97,75.0,38.33,360,169425.0,4.0,Purchase,Monthly,High Rise,12,K1R,55-59,Male,72000,3,53,734,FUNDED
CAX_Train_40322,40322,400000,1876,33.02,75.0,33.02,360,300000.0,5.25,Refinance,Monthly,Townhouse Condominium,12,L8G,60-64,Female,77000,2,44-45,604,FUNDED
CAX_Train_40336,40336,750000,3332,35.68,75.0,35.68,360,562500.0,5.0,Refinance,Monthly,Single Detached,12,L6J,40-44,Male,111000,2,56,467,FUNDED
CAX_Train_39309,39309,488000,2456,26.92,80.0,39.06,360,439182.0,5.0,Purchase,Monthly,Single Detached,12,L1K,60-64,Unknown,125000,8,81,681,NOT FUNDED
CAX_Train_8299,8299,338000,1362,10.5,65.0,41.72,360,270400.0,5.25,Purchase,Monthly,Single Detached,24,K0K,35-39,Female,170000,8,72,771,NOT FUNDED
CAX_Train_13001,13001,600000,2526,8.94,80.0,45.74,360,472000.0,4.0,Refinance,Monthly,Semi-Detached,12,L4H,45-49,Male,141000,2,23,645,FUNDED
CAX_Train_2556,2556,580000,1206,0.0,40.516999999999996,43.06,360,235000.0,4.75,Purchase,Monthly,Townhouse Condominium,12,L6H,60-64,Female,87000,2,56,809,NOT FUNDED
CAX_Train_35170,35170,315000,1732,14.19,80.0,23.74,360,336000.0,4.25,Refinance,Monthly,High Rise,24,M2N,40-44,Female,174000,8,53,576,FUNDED
CAX_Train_27902,27902,1000000,2571,43.25,80.0,43.25,360,720000.0,7.0,Refinance,Bi-Weekly Accelerated,Single Detached,12,L6P,35-39,Male,132000,2,54,531,FUNDED
CAX_Train_6156,6156,640000,1251,34.97,80.0,35.35,360,512000.0,3.75,Purchase,Bi-Weekly,Single Detached,36,L0E,45-49,Male,196000,8,44-45,795,FUNDED
CAX_Train_30050,30050,440000,2057,19.62,75.0,27.04,360,330000.0,5.5,Purchase,Monthly,Semi-Detached,12,M6N,25-29,Male,95000,8,23,716,FUNDED
CAX_Train_8106,8106,1200000,5004,25.7,80.0,30.17,360,960000.0,4.25,Purchase,Monthly,Single Detached,12,L6H,45-49,Female,250000,8,72,865,FUNDED
CAX_Train_15788,15788,750000,2291,36.99,46.66,37.14,360,350000.0,4.25,Refinance,Monthly,Single Detached,12,L6P,35-39,Unknown,80000,8,56,627,FUNDED
CAX_Train_16429,16429,950000,3943,12.63,80.0,29.84,360,712500.0,5.5,Refinance,Monthly,Single Detached,12,M8W,30-34,Male,413000,8,23,595,NOT FUNDED
CAX_Train_7213,7213,1240000,6915,28.53,64.1,36.98,360,1250000.0,4.25,Refinance,Monthly,Single Detached,12,L4B,40-44,Female,290000,8,56,686,FUNDED
CAX_Train_40693,40693,900000,2873,27.45,58.333,27.84,360,675000.0,4.0,Refinance,Monthly,Single Detached,12,M1E,55-59,Male,130000,8,61,729,NOT FUNDED
CAX_Train_32866,32866,800000,3188,21.92,80.0,35.31,360,640000.0,3.5,Purchase,Monthly,Semi-Detached,24,L6E,35-39,Female,180000,8,72,780,FUNDED
CAX_Train_36925,36925,445000,2343,25.8,80.0,39.71,360,356000.0,5.25,Purchase,Monthly,Single Detached,24,L6V,50-54,Female,125000,8,48-49,665,FUNDED
CAX_Train_10862,10862,330000,1458,3.42,74.77,23.22,360,246000.0,4.25,Refinance,Monthly,Single Detached,12,L1H,55-59,Female,86000,2,72,757,FUNDED
CAX_Train_9464,9464,340000,1572,16.88,80.0,26.57,360,272000.0,4.25,Purchase,Monthly,Townhouse Freehold,12,N2H,50-54,Male,112000,8,54,821,NOT FUNDED
CAX_Train_26936,26936,500000,1975,24.18,70.0,40.01,360,350000.0,4.25,Refinance,Monthly,Single Detached,12,L6H,40-44,Unknown,103000,6,81,810,NOT FUNDED
CAX_Train_42264,42264,418000,1963,29.12,80.0,32.52,360,334400.0,4.5,Purchase,Monthly,Townhouse Freehold,12,L6Y,35-39,Male,85000,2,81,659,FUNDED
CAX_Train_18639,18639,475000,2232,31.64,80.0,38.69,360,380000.0,3.5,Purchase,Monthly,Single Detached,36,K2J,35-39,Female,89000,2,56,726,FUNDED
CAX_Train_30141,30141,515000,1928,29.33,65.0,35.28,360,412288.0,3.75,Purchase,Monthly,Single Detached,12,N3L,30-34,Male,84000,2,56,786,FUNDED
CAX_Train_15240,15240,693000,3332,39.76,80.0,43.6,360,554734.4,5.0,Purchase,Monthly,Single Detached,12,L7G,40-44,Unknown,111000,2,56,641,FUNDED
CAX_Train_27763,27763,312000,1247,24.62,60.0,41.58,360,183000.0,5.0,Purchase,Monthly,Single Detached,12,N0M,65-69,Female,66000,6,81,543,FUNDED
CAX_Train_23084,23084,467000,2294,4.39,65.0,13.03,360,350250.0,5.5,Refinance,Monthly,Single Detached,12,K1J,35-39,Female,90000,2,92,796,NOT FUNDED
CAX_Train_26935,26935,240000,927,22.15,75.0,34.12,360,180000.0,4.0,Purchase,Monthly,High Rise,12,V5R,60-64,Male,62000,6,81,752,FUNDED
CAX_Train_1312,1312,500000,1956,41.29,71.0,41.29,360,355000.0,4.25,Refinance,Monthly,Single Detached,12,M1K,50-54,Male,60000,2,54,712,FUNDED
CAX_Train_36507,36507,1238000,10246,38.98,68.598,39.25,360,1978964.0,4.25,Refinance,Monthly,Single Detached,12,M6B,40-44,Male,320000,8,23,838,FUNDED
CAX_Train_662,662,165000,713,27.52,65.0,27.52,360,107250.0,5.0,Purchase,Monthly,Single Detached,12,L2E,40-44,Female,48000,2,56,553,FUNDED
CAX_Train_15967,15967,780000,3754,39.09,80.0,46.03,360,663000.0,5.0,Purchase,Monthly,Single Detached,12,L4Z,45-49,Male,145000,8,56,573,FUNDED
CAX_Train_25357,25357,570000,1815,35.3,65.0,35.7,360,370500.0,4.25,Refinance,Monthly,Single Detached,12,T0E,30-34,Male,75000,8,53,793,NOT FUNDED
CAX_Train_42393,42393,265000,1379,27.12,80.0,28.42,360,225250.0,5.0,Refinance,Monthly,Single Detached,12,N2J,40-44,Female,69000,2,56,589,FUNDED
CAX_Train_16145,16145,460000,2103,35.24,70.77,36.11,360,368000.0,4.0,Refinance,Monthly,Single Detached,12,L9G,55-59,Unknown,206000,8,44-45,609,FUNDED
CAX_Train_42259,42259,1550000,6657,32.84,75.0,36.96,360,1162500.0,4.75,Purchase,Monthly,Single Detached,12,M5M,30-34,Female,248000,8,54,695,FUNDED
CAX_Train_11347,11347,175000,802,22.91,65.0,46.0,360,140000.0,5.0,Purchase,Monthly,Single Detached,36,L0M,30-34,Unknown,26000,2,56,0,FUNDED
CAX_Train_35744,35744,665000,3015,16.33,80.0,28.53,360,532000.0,4.5,Purchase,Monthly,Single Detached,12,M1N,45-49,Male,227000,8,53,669,FUNDED
CAX_Train_29555,29555,784000,3409,35.07,76.55,35.22,360,600000.0,4.5,Purchase,Monthly,Single Detached,12,M2K,55-59,Unknown,79000,2,56,761,FUNDED
CAX_Train_41716,41716,270000,1081,7.99,65.0,43.3,360,227500.0,4.0,Refinance,Monthly,Single Detached,12,K1V,55-59,Male,190000,8,72,666,NOT FUNDED
CAX_Train_16222,16222,425000,1688,33.03,63.528999999999996,39.65,300,270000.0,5.75,Refinance,Monthly,Single Detached,12,H8Y,35-39,Male,75000,8,23,514,NOT FUNDED
CAX_Train_13762,13762,850000,3321,8.93,65.0,27.9,360,637500.0,5.0,Purchase,Monthly,Single Detached,12,L0S,25-29,Male,278000,2,54,805,NOT FUNDED
